frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
111	3.70	-	8.50	10.35	3.37	3.22	1.05	0.70	214.57					
112	3.74	-	8.62	10.42	3.44	3.20	1.08	0.74	209.90					
113	3.77	-	8.66	10.45	3.41	3.24	1.05	0.72	219.03					
114	3.80	-	8.12	10.11	3.25	3.18	1.02	0.72	222.69					
115	3.84	-	7.89	10.03	3.32	3.08	1.08	0.76	235.92					
116	3.87	-	7.55	9.79	3.29	2.98	1.10	0.85	247.84					
117	3.90	-	8.85	10.58	3.47	3.24	1.07	0.89	240.30					
118	3.94	-	8.70	10.47	3.39	3.25	1.04	0.86	227.37					
119	3.97	-	8.43	10.29	3.34	3.20	1.04	0.86	222.59					
120	4.01	-	8.19	10.17	3.40	3.09	1.10	0.83	218.29					
121	4.04	-	8.41	10.31	3.44	3.15	1.09	0.72	213.74					
122	4.07	-	8.20	10.17	3.40	3.09	1.10	0.68	212.13					
123	4.11	-	8.18	10.17	3.41	3.06	1.11	0.63	218.85					
124	4.14	-	8.51	10.37	3.46	3.12	1.11	0.67	216.97					
125	4.17	-	8.46	10.32	3.38	3.20	1.06	0.67	227.78					
126	4.21	-	7.68	9.83	3.18	3.09	1.03	0.72	237.19					
127	4.24	-	8.69	10.48	3.43	3.22	1.06	0.72	248.15					
128	4.27	-	7.89	9.98	3.30	3.04	1.09	0.82	252.41					
129	4.31	-	8.82	10.57	3.54	3.17	1.12	0.84	249.71					
130	4.34	-	8.74	10.53	3.58	3.10	1.15	0.89	234.46					
131	4.38	-	8.53	10.40	3.53	3.07	1.15	0.84	232.90					
132	4.41	-	7.86	10.01	3.46	2.89	1.19	0.78	230.68					
133	4.44	-	8.30	10.27	3.55	3.01	1.18	0.65	229.18					
134	4.48	-	8.55	10.42	3.57	3.05	1.17	0.64	231.45					
135	4.51	-	8.32	10.29	3.57	2.99	1.19	0.63	233.07					
136	4.54	-	8.40	10.32	3.55	3.04	1.17	0.62	230.34					
137	4.58	-	7.93	10.03	3.43	2.96	1.16	0.65	237.89					
138	4.61	-	7.51	9.74	3.23	3.00	1.08	0.65	252.91					
